Village,Mandal
Chennayyagunta,Tirupati Urban
Konkachennaiahgunta,Tirupati Urban
Alukuralle,Chittoor
Anagallu,Chittoor
Ananthapuram,Chittoor
Anupalle,Chittoor
Arathala,Chittoor
Ayanavedu,Chittoor
Sakara Narasinga Rayal Peta,Chittoor
Bandapalle,Chittoor
Chinthalasunta,Chittoor
Diquvamasaalle,Chittoor
Gollapalle,Chittoor
Guvvakallu,Chittoor
Krishnapuram,Chittoor
Kurchivedu,Chittoor
Lakshmanbapuram,Chittoor
Mapakshi,Chittoor
Mapakshi,Chittoor
Muthukuru,Chittoor
Nariqapalle,Chittoor
Pachanaalle,Chittoor
Paluru,Chittoor
Peddistetiballe,Chittoor
Penumalla Khandriga,Chittoor
S.Venkatapuram,Chittoor
Settiappam Thangal,Chittoor
Siddampalle,Chittoor
Thalambedu,Chittoor
Thenebanda,Chittoor
Thumminda,Chittoor
Varadarajulapalle,Chittoor
Venkatapuram,Chittoor
Chimathippasamudram,Madanapalle
Kasiraopeta,Madanapalle
Kollabylu,Madanapalle
Kothavaripalle,Madanapalle
Madanapalle,Madanapalle
Malepadu,Madanapalle
Molakaladinne,Madanapalle
Penchupadu,Madanapalle
Ponnetipalem,Madanapalle
Pothapalu,Madanapalle
Theneegalavaripalle,Madanapalle
Valasapalle,Madanapalle
Vempalle,Madanapalle
Brahmana Pattu,Tirupati Rural
Chiguruwada North Khandriqa,Tirupati Rural
Chiguruwada South Khandriqa,Tirupati Rural
Daminedu,Tirupati Rural
Duraa Samudram,Tirupati Rural
Gollaqalle,Tirupati Rural
Kalur,Tirupati Rural
Kothur,Tirupati Rural
Kuntapakam,Tirupati Rural
Kupu Chandra Peta,Tirupati Rural
Mallam Gunta,Tirupati Rural
Mallavaram,Tirupati Rural
Mundlapudi,Tirupati Rural
Nallamani Kaiva,Tirupati Rural
Padi,Tirupati Rural
Paidi Palle,Tirupati Rural
Panakam,Tirupati Rural
Patha Kaiva,Tirupati Rural
Pudipatia,Tirupati Rural
Ramanuja Palle,Tirupati Rural
Thanaqalle,Tirupati Rural
Thummala Gunta,Tirupati Rural
Vedantha Puram,Tirupati Rural
Vemur,Tirupati Rural
Yogimalivaram,Tirupati Rural
Aradiourta,Punganur
Bandlapalle,Punganur
Bheemaganipalle,Punganur
Bodevaripalle,Punganur
Chadalla,Punganur
Chandramakula Palle,Punganur
Etsvakili,Punganur
Ethur,Punganur
Kummaranathan,Punganur
Magandlapalle,Punganur
Mangalam,Punganur
Melumdoddi,Punganur
Mittachinthavari Palle,Punganur
Nekkondi,Punganur
Palyampalle,Punganur
Punganur,Punganur
Raganjpalle,Punganur
Vanamalsdinne,Punganur
Adavikothuru,Nagari
Ćąaram,Nagari
Damarapakam,Nagari
Gundrajukuppam,Nagari
Kamikapuram,Nagari
Kavetipuram,Nagari
